n,gradient_r2,gradient_axis_lat,gradient_axis_lon,raw_best_harmonic_k,raw_best_harmonic_r2,residual_best_harmonic_k,residual_best_harmonic_r2,l1_r2,l1_delta_r2,l2_r2,l2_delta_r2,l3_r2,l3_delta_r2
81,0.0052940174603696155,72.95864624025914,-38.749991776916644,2,0.0665516211075412,7,0.06631338809932419,0.0052940174603696155,0.0052940174603696155,0.15490680669392132,0.1496127892335517,0.27998507368864745,0.12507826699472613
81,0.03786317446790566,38.77121563458401,-149.15666045991784,2,0.06224822472388025,5,0.060169230233000914,0.03786317446790566,0.03786317446790566,0.11869621827443522,0.08083304380652956,0.2450523364790662,0.126356118204631
81,0.046707630301817016,64.39459122888398,-148.72143142258963,2,0.04652051714011862,2,0.04077786292895047,0.046707630301817016,0.046707630301817016,0.09691470920072798,0.05020707889891096,0.16907431846294707,0.0721596092622191
81,0.04211766965096542,72.48089322345068,-117.37467294023327,8,0.044443079266856644,3,0.04263191616876838,0.04211766965096542,0.04211766965096542,0.13529058632358393,0.09317291667261851,0.2181903664756797,0.08289978015209576
81,0.025639089248729374,73.42280060709606,-128.05108082639816,2,0.049402924405128945,2,0.04501903986966793,0.025639089248729374,0.025639089248729374,0.12094624192020498,0.0953071526714756,0.1653899200568416,0.04444367813663663
81,0.02003036642381406,42.928002896136846,-170.77827897048923,2,0.06344880597746949,2,0.059423316013413,0.02003036642381406,0.02003036642381406,0.12648074165017276,0.1064503752263587,0.1927773374691505,0.06629659581897773
81,0.01772404120825588,39.41613752137886,-179.8509864530476,8,0.051464970024666656,8,0.048279691971774064,0.01772404120825588,0.01772404120825588,0.07116657560520279,0.053442534396946906,0.16056551680529518,0.0893989412000924
81,0.027415740360970386,51.65371403237002,-164.39693613593505,2,0.07007597725973025,3,0.06874391176906891,0.027415740360970386,0.027415740360970386,0.14010105918924243,0.11268531882827204,0.24458299244320514,0.10448193325396271
81,0.010024916329612554,22.58289301669924,-101.47038809598395,2,0.07596182068758295,2,0.06397082961420153,0.010024916329612554,0.010024916329612554,0.15117513623560708,0.14115021990599452,0.2649018378402568,0.1137267016046497
81,0.014756080611206146,88.36918705095776,-131.93298858271007,8,0.03620152015709377,8,0.04280006030317263,0.014756080611206146,0.014756080611206146,0.06974150061102202,0.05498541999981588,0.14865174943047788,0.07891024881945585
81,0.03196200573792696,34.015407244023784,-147.03643374485037,3,0.06602201128129548,3,0.08638331539100552,0.03196200573792696,0.03196200573792696,0.11692305693851468,0.08496105120058772,0.25204776630068804,0.13512470936217336
81,0.032843144766181886,55.13059980295248,-152.15917296458167,2,0.08008331513029832,3,0.07283321986329405,0.032843144766181886,0.032843144766181886,0.1506390682347749,0.11779592346859302,0.2453793441697486,0.0947402759349737
81,0.028598318304631665,73.32233045021943,-124.60588483496343,3,0.04243312870576188,3,0.06667670715046004,0.028598318304631665,0.028598318304631665,0.12020951187813078,0.09161119357349912,0.2743802538264797,0.1541707419483489
81,0.0061423381637008,35.866257256575665,-169.02297458328073,8,0.04539309344801157,8,0.04485692803255048,0.0061423381637008,0.0061423381637008,0.15405063122879925,0.14790829306509845,0.2491481377715925,0.09509750654279325
81,0.03448371176918463,58.80366158173478,-158.84671826388833,2,0.035621021182232426,3,0.04239381206856452,0.03448371176918463,0.03448371176918463,0.07988980034651227,0.04540608857732764,0.13748450261310385,0.05759470226659158
81,0.019598412172725732,54.646432946845785,-149.39043121276262,8,0.06953809221571017,8,0.06923999201854969,0.019598412172725732,0.019598412172725732,0.0915829204694365,0.07198450829671077,0.20434101318486464,0.11275809271542814
81,0.0808510712955397,48.366947452384025,-148.0989115160121,2,0.10594233465374614,2,0.08194630966110106,0.0808510712955397,0.0808510712955397,0.1872787152994888,0.1064276440039491,0.2697258035345753,0.08244708823508651
81,0.0375822398241098,83.22355709562905,-160.67425765684527,2,0.030813884515334067,5,0.03781951418264673,0.0375822398241098,0.0375822398241098,0.10455933191079858,0.06697709208668878,0.20090418543617927,0.09634485352538069
81,0.0173379603892988,48.936728832197765,-140.04692226679234,3,0.07069659513581461,3,0.08741402757835603,0.0173379603892988,0.0173379603892988,0.09843987159209511,0.0811019112027963,0.22169631855724115,0.12325644696514604
81,0.042850407288194,50.36139017222152,-147.4775612849704,8,0.04954261338703603,5,0.06139883273176305,0.042850407288194,0.042850407288194,0.09082635736270905,0.04797595007451505,0.194956275717166,0.10412991835445695
81,0.008388351422290219,65.07667787220034,-143.68079811657182,5,0.05124833913614357,5,0.05803398286569572,0.008388351422290219,0.008388351422290219,0.10239816557600157,0.09400981415371135,0.22521571111679184,0.12281754554079027
81,0.03715253974544741,67.39828559814194,-169.70838727111308,8,0.04635049468423946,8,0.04879900455125241,0.03715253974544741,0.03715253974544741,0.09516584499224068,0.05801330524679327,0.1869618830502625,0.09179603805802183
81,0.01982301549370702,42.5187218643478,-125.37301780031265,8,0.0710072805829064,8,0.058582347318059114,0.01982301549370702,0.01982301549370702,0.11032260827925933,0.09049959278555231,0.21451192555720466,0.10418931727794534
81,0.04121130959403452,49.48608963437274,-144.0756341377926,2,0.08696802295454886,2,0.07250326412762764,0.04121130959403452,0.04121130959403452,0.12290997617511668,0.08169866658108216,0.20388048963051264,0.08097051345539596
