mode,n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l2_norm_residual_model
global,3176,0.0009307379519452041,0.0033310456954800394,0.0024003077435348352,0.0019831715588157772,6.9854314319806
global,3176,0.0005040339887105727,0.0011959261819277645,0.0006918921932171918,0.0005024402887872093,2.603507203027504
global,3176,0.00023331742677246137,0.001290534408781685,0.0010572169820092236,0.0006641574212852275,3.281538093349377
global,3176,0.0005702768730482255,0.0015004770944395673,0.0009302002213913418,0.0008158523912631388,3.316697218254373
global,3176,0.00012513532612867806,0.0003641438594638169,0.00023900853333513883,0.0001637035453344593,1.221331100839472
global,3176,0.0010963498095306612,0.001419675183327973,0.00032332537379731185,0.00026720183808326414,2.5647422591473905
global,3176,0.0004966295878333638,0.000940554066004351,0.00044392447817098724,0.0002957430669886518,2.17444470869941
global,3176,0.001021438271582631,0.0020358131380519007,0.0010143748664692698,0.0009302294942120648,3.9711319704567383
global,3176,0.0008005120321370462,0.0017521725849504177,0.0009516605528133715,0.0008769219646411752,5.219918097708036
global,3176,0.0006612332786156694,0.0017976971502976502,0.0011364638716819808,0.0005920310645015636,3.365612196957504
global,3176,0.002024303545517969,0.004519541812498695,0.002495238266980726,0.0016707930138317728,7.731615765800812
global,3176,0.0004872323187202765,0.0005037246127087558,1.649229398847929e-05,1.2634132088851224e-05,0.5211358811448947
global,3176,0.0001488076030098373,0.001838889393704246,0.0016900817906944088,0.0012319135881474486,3.5690543124856697
global,3176,0.002350027606066507,0.003961196301797032,0.001611168695730525,0.0012021074707367907,5.07279094828014
global,3176,0.00189431209789781,0.002985447745200709,0.0010911356473028988,0.0006685566837079104,2.5768358618506984
global,3176,0.000883131180822283,0.002407069855888455,0.001523938675066172,0.0010367683371111935,2.7597960036672697
global,3176,0.0006997807462085781,0.0024788883178945564,0.0017791075716859783,0.0013944923692722488,4.655668999456503
global,3176,0.0013556882813690052,0.0029746102019664322,0.001618921920597427,0.0014130888409178421,5.634566755195477
global,3176,0.0004959565544154776,0.0011605752402084057,0.0006646186857929282,0.0005578589297932091,2.9408187872057603
global,3176,0.0005073152716684737,0.0019622320938431637,0.00145491682217469,0.0007010415063106734,1.5541842633783327
